日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,300750,204.59,203.27,204.9,198.87,104820,4056787273.0,2.94,-1.02,-2.1,0.53
2023-01-04,300750,201.53,200.15,201.81,199.06,196023,7527791631.0,1.35,-1.53,-3.12,0.94
2023-01-05,300750,202.36,213.2,214.68,200.7,260433,10371713857.0,6.98,6.52,13.05,1.24
2023-01-06,300750,212.36,218.29,222.91,211.29,183925,7641585134.0,5.45,2.39,5.09,0.88
2023-01-09,300750,221.74,218.25,221.74,216.81,128403,5373244035.0,2.26,-0.02,-0.04,0.61
2023-01-10,300750,218.84,226.81,228.47,216.42,182607,7781973489.0,5.52,3.92,8.56,0.87
2023-01-11,300750,225.97,224.51,229.03,222.36,122418,5252326720.0,2.94,-1.01,-2.3,0.59
2023-01-12,300750,226.81,227.64,230.57,225.52,111368,4837460192.0,2.25,1.39,3.13,0.53
2023-01-13,300750,233.47,230.97,238.21,225.7,207575,9140635813.0,5.5,1.46,3.33,0.99
2023-01-16,300750,230.42,234.94,236.53,228.54,168091,7451169294.0,3.46,1.72,3.97,0.8
2023-01-17,300750,235.1,234.37,237.85,233.26,98958,4416180657.0,1.95,-0.24,-0.57,0.47
2023-01-18,300750,235.98,235.97,237.3,232.98,73443,3292955688.0,1.84,0.68,1.6,0.35
2023-01-19,300750,234.21,235.01,237.64,232.47,73100,3254123919.0,2.19,-0.41,-0.96,0.35
2023-01-20,300750,235.01,237.92,238.03,233.62,107657,4841543970.0,1.88,1.24,2.91,0.51
2023-01-30,300750,253.12,248.28,259.34,246.51,211743,10102385367.0,5.39,4.35,10.36,1.01
2023-01-31,300750,247.85,245.25,252.09,243.72,139540,6565989151.0,3.37,-1.22,-3.03,0.67
2023-02-01,300750,248.47,251.7,253.12,248.19,115022,5464594493.0,2.01,2.63,6.45,0.55
2023-02-02,300750,252.85,245.75,253.31,245.07,134557,6339908128.0,3.27,-2.36,-5.95,0.64
2023-02-03,300750,244.59,240.25,245.81,237.57,120200,5495174744.0,3.35,-2.24,-5.5,0.57
2023-02-06,300750,237.92,237.14,238.76,231.86,107529,4811799061.0,2.87,-1.29,-3.11,0.51
2023-02-07,300750,237.08,235.75,238.92,233.84,72112,3231274189.0,2.14,-0.59,-1.39,0.34
2023-02-08,300750,236.59,235.26,238.72,234.03,73299,3293742443.0,1.99,-0.21,-0.49,0.35
2023-02-09,300750,235.26,238.47,240.14,232.09,80314,3627030215.0,3.42,1.36,3.21,0.38
2023-02-10,300750,238.47,234.56,239.96,234.04,83978,3773477538.0,2.48,-1.64,-3.91,0.4
2023-02-13,300750,237.35,242.36,243.24,235.15,134185,6143224997.0,3.45,3.33,7.8,0.64
2023-02-14,300750,247.36,237.39,247.53,234.47,128122,5816558282.0,5.39,-2.05,-4.97,0.61
2023-02-15,300750,238.53,236.03,240.7,235.7,77734,3508461573.0,2.11,-0.57,-1.36,0.37
2023-02-16,300750,237.91,233.03,239.31,230.14,100911,4514542232.0,3.89,-1.27,-3.0,0.48
2023-02-17,300750,232.36,220.25,232.36,220.14,214696,9171648847.0,5.24,-5.48,-12.78,1.03
2023-02-20,300750,217.92,220.4,221.19,212.55,168299,6992852566.0,3.92,0.07,0.15,0.8
2023-02-21,300750,218.74,217.37,221.52,215.7,131846,5490561030.0,2.64,-1.37,-3.03,0.63
2023-02-22,300750,214.03,214.29,216.86,212.74,123639,5069312343.0,1.9,-1.42,-3.08,0.59
2023-02-23,300750,214.59,216.38,217.44,213.14,95373,3922375682.0,2.01,0.98,2.09,0.46
2023-02-24,300750,215.14,212.03,215.59,211.26,99894,4060495069.0,2.0,-2.01,-4.35,0.48
2023-02-27,300750,210.55,209.64,212.07,209.09,92206,3705001333.0,1.41,-1.13,-2.39,0.44
2023-02-28,300750,211.25,211.2,213.64,209.86,93231,3769996772.0,1.8,0.74,1.56,0.45
2023-03-01,300750,210.75,215.57,216.91,210.71,126020,5166296897.0,2.94,2.07,4.37,0.6
2023-03-02,300750,214.31,209.47,215.14,206.92,161453,6483446930.0,3.81,-2.83,-6.1,0.77
2023-03-03,300750,210.31,210.32,212.2,209.03,82031,3300669920.0,1.51,0.41,0.85,0.39
2023-03-06,300750,210.24,213.71,213.96,204.59,166267,6674565924.0,4.46,1.61,3.39,0.79
2023-03-07,300750,211.25,210.25,214.02,210.05,99184,4014218858.0,1.86,-1.62,-3.46,0.47
2023-03-08,300750,209.04,207.77,210.66,206.31,81294,3231604462.0,2.07,-1.18,-2.48,0.39
2023-03-09,300750,206.92,207.37,209.74,202.5,81367,3228769655.0,3.48,-0.19,-0.4,0.39
2023-03-10,300750,209.97,212.25,214.55,206.75,191426,7722447890.0,3.76,2.35,4.88,0.89
2023-03-13,300750,210.71,204.59,212.73,203.47,188332,7424578060.0,4.36,-3.61,-7.66,0.87
2023-03-14,300750,203.96,201.94,204.03,196.81,184847,7095007800.0,3.53,-1.3,-2.65,0.86
2023-03-15,300750,205.14,202.36,206.66,199.93,129683,5046344791.0,3.33,0.21,0.42,0.6
2023-03-16,300750,200.14,200.76,203.42,199.86,101132,3897781767.0,1.76,-0.79,-1.6,0.47
2023-03-17,300750,202.92,195.69,203.47,195.42,201447,7641555518.0,4.01,-2.53,-5.07,0.93
2023-03-20,300750,194.89,197.89,200.47,191.25,158370,6002000932.0,4.71,1.12,2.2,0.73
2023-03-21,300750,199.14,205.57,205.8,197.2,172924,6720740862.0,4.35,3.88,7.68,0.8
2023-03-22,300750,208.33,208.59,213.84,207.37,176872,7125770900.0,3.15,1.47,3.02,0.82
2023-03-23,300750,207.92,208.13,210.1,205.94,100289,3981184717.0,1.99,-0.22,-0.46,0.46
2023-03-24,300750,208.14,205.46,210.29,203.47,117653,4645723682.0,3.28,-1.28,-2.67,0.55
2023-03-27,300750,204.09,207.09,208.25,200.37,161157,6311744702.0,3.84,0.79,1.63,0.75
2023-03-28,300750,205.7,204.92,206.91,203.59,75906,2976678086.0,1.6,-1.05,-2.17,0.35
2023-03-29,300750,206.37,209.13,211.41,205.16,137546,5508159641.0,3.05,2.05,4.21,0.64
2023-03-30,300750,209.58,209.09,210.14,207.56,86819,3465633464.0,1.23,-0.02,-0.04,0.4
2023-03-31,300750,211.53,212.39,217.35,211.53,196076,8033742420.0,2.78,1.58,3.3,0.91
2023-04-03,300750,212.42,208.31,212.81,206.81,167632,6698371580.0,2.82,-1.92,-4.08,0.78
2023-04-04,300750,209.02,202.36,209.02,198.92,200897,7782699958.0,4.85,-2.86,-5.95,0.93
2023-04-06,300750,200.14,202.37,203.22,198.0,105816,4064823971.0,2.58,0.0,0.01,0.49
2023-04-07,300750,201.34,203.76,205.7,200.34,100581,3923098225.0,2.65,0.69,1.39,0.47
2023-04-10,300750,205.64,210.15,210.2,202.36,172379,6844475287.0,3.85,3.14,6.39,0.8
2023-04-11,300750,209.04,209.0,214.51,207.92,143663,5785418237.0,3.14,-0.55,-1.15,0.67
2023-04-12,300750,209.03,204.59,209.03,204.59,87367,3443470020.0,2.12,-2.11,-4.41,0.41
2023-04-13,300750,203.47,202.51,204.23,200.7,100464,3896072549.0,1.73,-1.02,-2.08,0.47
2023-04-14,300750,202.31,207.52,210.35,202.09,159237,6337229777.0,4.08,2.47,5.01,0.74
2023-04-17,300750,206.99,213.41,214.59,206.7,176632,7173869978.0,3.8,2.84,5.89,0.82
2023-04-18,300750,213.41,214.03,219.03,213.08,140605,5793046443.0,2.79,0.29,0.62,0.65
2023-04-19,300750,217.09,214.79,217.27,212.36,116224,4770263894.0,2.29,0.36,0.76,0.54
2023-04-20,300750,214.75,206.81,214.75,206.81,158438,6335888038.0,3.7,-3.72,-7.98,0.73
2023-04-21,300750,211.53,211.8,217.32,208.47,252760,10288953392.0,4.28,2.41,4.99,1.17
2023-04-24,300750,211.86,207.3,212.36,205.07,173774,6922771298.0,3.44,-2.12,-4.5,0.81
2023-04-25,300750,207.92,201.2,207.92,197.92,168989,6532955961.0,4.82,-2.94,-6.1,0.78
2023-04-26,300750,201.21,212.71,216.16,198.22,397075,8801110231.0,8.92,5.72,11.51,1.02
2023-04-27,300750,212.21,219.21,220.69,210.52,339691,7764148296.0,4.78,3.06,6.5,0.87
2023-04-28,300750,222.21,219.06,225.54,215.1,271048,6269727389.0,4.76,-0.07,-0.15,0.7
2023-05-04,300750,219.21,213.73,220.71,212.76,194091,4416464194.0,3.63,-2.43,-5.33,0.5
2023-05-05,300750,213.21,215.21,218.21,211.93,167409,3793534213.0,2.94,0.69,1.48,0.43
2023-05-08,300750,218.21,219.02,222.0,214.27,227531,5237667345.0,3.59,1.77,3.81,0.59
2023-05-09,300750,218.59,214.04,218.59,212.26,196538,4447695097.0,2.89,-2.27,-4.98,0.51
2023-05-10,300750,214.01,220.73,222.46,209.42,289568,6637247354.0,6.09,3.13,6.69,0.75
2023-05-11,300750,220.76,228.61,231.19,219.41,347474,8292776226.0,5.34,3.57,7.88,0.89
2023-05-12,300750,230.2,226.19,232.77,226.19,223100,5363787910.0,2.88,-1.06,-2.42,0.57
2023-05-15,300750,229.22,226.5,232.21,223.31,267065,6408351582.0,3.93,0.14,0.31,0.69
2023-05-16,300750,226.61,227.21,229.18,224.98,139740,3336944402.0,1.85,0.31,0.71,0.36
2023-05-17,300750,227.21,228.21,229.89,224.27,182464,4350981986.0,2.47,0.44,1.0,0.47
2023-05-18,300750,229.51,220.61,229.58,219.25,241239,5653225268.0,4.53,-3.33,-7.6,0.62
2023-05-19,300750,219.96,218.21,222.39,218.21,194722,4503095902.0,1.89,-1.09,-2.4,0.5
2023-05-22,300750,217.21,218.51,220.71,215.21,146791,3373155581.0,2.52,0.14,0.3,0.38
